run-id,use_vernalisation_fix,yields,bgr,nc_mode,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier
35,true,false,false,false,WR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
36,false,false,false,false,WRa,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
37,false,false,false,false,SG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
38,true,false,false,false,ZR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
39,true,false,false,false,SM,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
40,false,false,false,false,KA,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
41,true,false,false,false,WW,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
42,true,false,false,false,WG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
43,true,false,false,false,WR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
44,false,false,false,false,WRa,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
45,false,false,false,false,SG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
46,true,false,false,false,ZR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
47,true,false,false,false,SM,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
48,false,false,false,false,KA,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
49,true,false,false,false,WW,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
50,true,false,false,false,WG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
51,true,false,false,false,WR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
52,false,false,false,false,WRa,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
53,false,false,false,false,SG,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
54,true,false,false,false,ZR,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
55,true,false,false,false,SM,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
56,false,false,false,false,KA,sim.json,crop.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,,
